Arma,Coleccion,Grado,FloatMin,FloatMax
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.0,1.0
Negev | Loudmouth,The Falchion Collection,restricted,0.14,0.65
Negev | Man-o'-war,The Chroma 2 Collection,mil-spec,0.1,0.2
Negev | Mjölnir,The Norse Collection,classified,0.0,0.6
Negev | Nuclear Waste,The Cache Collection,industrial,0.0,0.4
Negev | Phoenix Stencil,The Havoc Collection,mil-spec,0.0,0.65
Negev | Power Loader,The Revolver Case Collection,restricted,0.0,1.0
Negev | Prototype,The Prisma 2 Collection,mil-spec,0.0,0.7
Negev | Raw Ceramic,The Boreal Collection,consumer,0.0,0.75
Negev | Sour Grapes,The Ascent Collection,industrial,0.0,0.8
Negev | Terrain,The Phoenix Collection,mil-spec,0.0,0.45
Negev | Ultralight,The Fracture Collection,mil-spec,0.0,0.79
Negev | Wall Bang,The Overpass 2024 Collection,industrial,0.0,1.0
Negev | dev_texture,The Snakebite Collection,restricted,0.0,0.65
Nova | Antique,The Phoenix Collection,classified,0.0,0.3
Nova | Army Sheen,The Ancient Collection,consumer,0.0,0.3
Nova | Baroque Orange,The Canals Collection,restricted,0.0,0.5
Nova | Blaze Orange,The Militia Collection,mil-spec,0.0,1.0
Nova | Bloomstick,The eSports 2014 Summer Collection,classified,0.0,1.0
Nova | Caged Steel,The Bank Collection,industrial,0.0,0.2
Nova | Candy Apple,The Italy Collection,industrial,0.0,0.3
Nova | Clear Polymer,The Operation Broken Fang Collection,restricted,0.0,1.0
Nova | Dark Sigil,The Kilowatt Collection,mil-spec,0.0,0.698529
Nova | Exo,The Gamma Collection,mil-spec,0.0,0.5
Nova | Forest Leaves,The Aztec Collection,consumer,0.0,1.0
Nova | Ghost Camo,The eSports 2013 Winter Collection,mil-spec,0.0,0.4
Nova | Gila,The Glove Collection,restricted,0.0,0.3
Nova | Graphite,The Arms Deal 2 Collection,restricted,0.0,0.12
Nova | Green Apple,The Cobblestone Collection,industrial,0.0,0.3
Nova | Hyper Beast,The Wildfire Collection,classified,0.0,0.6
Nova | Interlock,The 2021 Vertigo Collection,mil-spec,0.0,0.5
Nova | Koi,The Breakout Collection,restricted,0.0,0.3
Nova | Mandrel,The 2018 Nuke Collection,consumer,0.0,0.5
Nova | Marsh Grass,The Radiant Collection,consumer,0.0,0.55
Nova | Modern Hunter,The Militia Collection,mil-spec,0.0,1.0
Nova | Moon in Libra,The Gods and Monsters Collection,consumer,0.0,0.5
Nova | Plume,The Shattered Web Collection,mil-spec,0.0,0.8
Nova | Polar Mesh,The Train Collection,consumer,0.0,1.0
Nova | Predator,The Dust 2 Collection,consumer,0.0,1.0
Nova | Quick Sand,The 2021 Dust 2 Collection,mil-spec,0.0,0.5
Nova | Rain Station,The Train 2025 Collection,industrial,0.0,0.35
Nova | Ranger,The Falchion Collection,mil-spec,0.0,1.0
Nova | Red Quartz,The 2021 Train Collection,restricted,0.0,0.4
Nova | Rising Skull,The Winter Offensive Collection,restricted,0.0,0.5
Nova | Rising Sun,The Fever Collection,restricted,0.0,1.0
Nova | Rust Coat,The Havoc Collection,industrial,0.0,1.0
Nova | Sand Dune,The Italy Collection,consumer,0.0,1.0
Nova | Sobek's Bite,The Anubis Collection,restricted,0.0,1.0
Nova | Tempest,The Bravo Collection,mil-spec,0.0,0.22
Nova | Toy Soldier,The Horizon Collection,restricted,0.0,1.0
Nova | Turquoise Pour,The Ascent Collection,industrial,0.0,0.678431
Nova | Walnut,The Inferno Collection,consumer,0.0,1.0
Nova | Wild Six,The Clutch Collection,restricted,0.0,0.8
Nova | Windblown,The Snakebite Collection,mil-spec,0.0,0.5
Nova | Wood Fired,The Danger Zone Collection,mil-spec,0.0,0.75
Nova | Wurst Hölle,The Overpass 2024 Collection,mil-spec,0.0,1.0
Nova | Yorkshire,The Sport & Field Collection,mil-spec,0.0,1.0
P2000 | Acid Etched,The Prisma 2 Collection,restricted,0.0,1.0
P2000 | Amber Fade,The Dust 2 Collection,restricted,0.0,0.4
P2000 | Chainmail,The Cobblestone Collection,mil-spec,0.0,0.22
P2000 | Coach Class,The Baggage Collection,industrial,0.0,1.0
P2000 | Coral Halftone,The Graphic Design Collection,industrial,0.0,0.52
P2000 | Corticera,The eSports 2014 Summer Collection,classified,0.0,0.3
P2000 | Dispatch,The Control Collection,mil-spec,0.0,0.65
P2000 | Fire Elemental,The Vanguard Collection,covert,0.0,0.6
P2000 | Gnarled,The Fracture Collection,mil-spec,0.0,1.0
P2000 | Granite Marbleized,The Italy Collection,industrial,0.0,1.0
P2000 | Grassland,The Overpass Collection,industrial,0.0,1.0
P2000 | Grassland Leaves,The Militia Collection,industrial,0.0,1.0
P2000 | Handgun,The Falchion Collection,restricted,0.0,1.0
P2000 | Imperial,The Revolver Case Collection,mil-spec,0.0,0.2
P2000 | Imperial Dragon,The Gamma Collection,classified,0.0,0.63
P2000 | Ivory,The Breakout Collection,mil-spec,0.0,1.0
P2000 | Lifted Spirits,The Dreams & Nightmares Collection,mil-spec,0.0,1.0
P2000 | Marsh,The Boreal Collection,industrial,0.0,0.6
P2000 | Obsidian,The Shattered Web Collection,restricted,0.0,1.0
P2000 | Ocean Foam,The Bravo Collection,classified,0.0,0.12
P2000 | Oceanic,The Chroma 3 Collection,mil-spec,0.0,0.6
P2000 | Panther Camo,The Ancient Collection,industrial,0.0,0.5
P2000 | Pathfinder,The Gods and Monsters Collection,industrial,0.0,0.35
P2000 | Pulse,The Huntsman Collection,mil-spec,0.0,0.6
P2000 | Red FragCam,The Arms Deal 3 Collection,mil-spec,0.0,0.7
P2000 | Royal Baroque,The Ascent Collection,mil-spec,0.0,0.6
P2000 | Scorpion,The Dust Collection,restricted,0.0,0.08
P2000 | Silver,The Office Collection,mil-spec,0.0,0.08
P2000 | Space Race,The 2021 Train Collection,restricted,0.0,0.6
P2000 | Sure Grip,The Fever Collection,mil-spec,0.0,0.9
P2000 | Turf,The Glove Collection,mil-spec,0.0,1.0
P2000 | Urban Hazard,The Clutch Collection,mil-spec,0.0,1.0
P2000 | Wicked Sick,The Revolution Collection,classified,0.0,1.0
P2000 | Woodsman,The Operation Hydra Collection,restricted,0.0,0.8
P250 | Apep's Curse,The Anubis Collection,classified,0.0,1.0
P250 | Asiimov,The Chroma 3 Collection,classified,0.1,1.0
P250 | Bengal Tiger,The Havoc Collection,mil-spec,0.06,0.8
P250 | Black & Tan,The 2021 Dust 2 Collection,mil-spec,0.0,0.5
P250 | Bone Mask,The Mirage Collection,consumer,0.0,1.0
P250 | Boreal Forest,The Lake Collection,consumer,0.0,1.0
P250 | Cartel,The Vanguard Collection,classified,0.0,0.75
P250 | Cassette,The Fracture Collection,mil-spec,0.0,0.6
P250 | Constructivist,The Train 2025 Collection,industrial,0.0,0.35
P250 | Contaminant,The Operation Broken Fang Collection,mil-spec,0.0,0.7
P250 | Contamination,The Cache Collection,industrial,0.0,0.83
P250 | Copper Oxide,The Boreal Collection,consumer,0.0,0.65
P250 | Crimson Kimono,The Rising Sun Collection,industrial,0.0,0.8
P250 | Cyber Shell,The Snakebite Collection,restricted,0.0,0.85
P250 | Dark Filigree,The Canals Collection,industrial,0.0,0.5
P250 | Digital Architect,The 2021 Vertigo Collection,restricted,0.0,0.49
P250 | Drought,The 2021 Mirage Collection,consumer,0.0,0.44
P250 | Epicenter,The Gallery Collection,classified,0.0,0.8
P250 | Exchanger,The 2018 Nuke Collection,mil-spec,0.0,0.5
P250 | Facets,The Alpha Collection,industrial,0.0,1.0
P250 | Facility Draft,The 2018 Nuke Collection,consumer,0.0,0.5
P250 | Forest Night,The Control Collection,consumer,0.0,1.0
P250 | Franklin,The Bank Collection,classified,0.0,0.4
P250 | Gunsmoke,The Inferno Collection,industrial,0.0,1.0
P250 | Hive,The Arms Deal 2 Collection,mil-spec,0.0,0.3
P250 | Inferno,The CS20 Collection,restricted,0.0,0.68
P250 | Iron Clad,The Gamma Collection,mil-spec,0.05,0.8
P250 | Mehndi,The Winter Offensive Collection,classified,0.0,1.0
P250 | Metallic DDPAT,The Train Collection,industrial,0.0,0.08
P250 | Mint Kimono,The Rising Sun Collection,consumer,0.0,0.8
P250 | Modern Hunter,The Militia Collection,mil-spec,0.0,1.0
P250 | Muertos,The Chroma Collection,classified,0.0,0.6
P250 | Nevermore,The Danger Zone Collection,restricted,0.0,0.4
P250 | Nuclear Threat,The Nuke Collection,restricted,0.0,1.0
P250 | Plum Netting,The Ascent Collection,consumer,0.0,0.6
P250 | Re.built,The Revolution Collection,mil-spec,0.0,0.9
P250 | Red Rock,The Operation Hydra Collection,restricted,0.0,1.0
P250 | Red Tide,The Radiant Collection,mil-spec,0.0,0.75
P250 | Ripple,The Spectrum Collection,mil-spec,0.0,0.5
P250 | Sand Dune,The Dust 2 Collection,consumer,0.0,1.0
P250 | Sedimentary,The Radiant Collection,industrial,0.0,0.68
P250 | See Ya Later,The Spectrum 2 Collection,covert,0.0,0.7
P250 | Small Game,The Sport & Field Collection,mil-spec,0.0,0.7
P250 | Splash,The eSports 2013 Collection,restricted,0.0,0.18
P250 | Steel Disruption,The eSports 2013 Winter Collection,mil-spec,0.0,0.2
P250 | Supernova,The Breakout Collection,restricted,0.0,0.4
P250 | Undertow,The Arms Deal 3 Collection,classified,0.0,0.2
P250 | Valence,The Chroma 2 Collection,mil-spec,0.0,0.8
P250 | Verdigris,The Prisma Collection,mil-spec,0.0,0.7
P250 | Vino Primo,The 2018 Inferno Collection,restricted,0.0,1.0
P250 | Visions,The Recoil Collection,classified,0.0,0.7
P250 | Whiteout,The Chop Shop Collection,mil-spec,0.0,1.0
P250 | Wingshot,The Shadow Collection,restricted,0.0,0.9
P250 | X-Ray,The X-Ray Collection,restricted,0.0,0.3
P90 | Ancient Earth,The Ancient Collection,consumer,0.0,0.5
P90 | Ash Wood,The Train Collection,industrial,0.0,0.45
P90 | Asiimov,The Breakout Collection,covert,0.0,0.92
P90 | Astral Jörmungandr,The Norse Collection,restricted,0.0,0.5
P90 | Attack Vector,The Graphic Design Collection,restricted,0.0,0.55
P90 | Baroque Red,The Canals Collection,mil-spec,0.0,0.5
P90 | Blind Spot,The eSports 2013 Winter Collection,restricted,0.0,0.5
P90 | Blue Tac,The Ascent Collection,consumer,0.0,0.6
P90 | Chopper,The Gamma Collection,restricted,0.0,0.6
P90 | Cocoa Rampage,The Operation Broken Fang Collection,mil-spec,0.0,0.6
P90 | Cold Blooded,The Arms Deal 2 Collection,classified,0.0,0.08
P90 | Death Grip,The Operation Hydra Collection,restricted,0.0,1.0
P90 | Death by Kitty,The eSports 2013 Collection,covert,0.08,0.32
P90 | Desert DDPAT,The 2021 Dust 2 Collection,consumer,0.0,0.5
P90 | Desert Halftone,The Radiant Collection,consumer,0.0,0.65
P90 | Desert Warfare,The Huntsman Collection,mil-spec,0.0,0.5
P90 | Elite Build,The Falchion Collection,mil-spec,0.0,1.0
P90 | Emerald Dragon,The Bravo Collection,classified,0.0,0.52
P90 | Facility Negative,The 2018 Nuke Collection,mil-spec,0.0,0.5
P90 | Fallout Warning,The Nuke Collection,industrial,0.0,1.0
P90 | Freight,The Fracture Collection,mil-spec,0.0,1.0
P90 | Glacier Mesh,The Vertigo Collection,mil-spec,0.0,1.0
P90 | Grim,#CSGO_set_gamma_2,mil-spec,0.0,0.8
P90 | Leather,The Baggage Collection,industrial,0.0,1.0
P90 | Module,The Huntsman Collection,mil-spec,0.0,0.35
P90 | Mustard Gas,The Boreal Collection,industrial,0.0,0.63
P90 | Neoqueen,The Revolution Collection,restricted,0.0,0.6
P90 | Nostalgia,The CS20 Collection,classified,0.0,0.57
P90 | Off World,The Prisma Collection,mil-spec,0.0,0.75
P90 | Randy Rush,The Gallery Collection,restricted,0.0,0.75
P90 | Reef Grief,The Ascent Collection,mil-spec,0.0,0.6
P90 | Run and Hide,The Ancient Collection,classified,0.0,1.0
P90 | Sand Spray,The Dust 2 Collection,consumer,0.0,1.0
P90 | ScaraB Rush,The Anubis Collection,restricted,0.0,1.0
P90 | Schematic,The 2021 Vertigo Collection,mil-spec,0.0,0.5
P90 | Scorched,The Mirage Collection,consumer,0.0,1.0
P90 | Shallow Grave,The Glove Collection,classified,0.0,0.75
P90 | Shapewood,The Revolver Case Collection,classified,0.0,1.0
P90 | Storm,The Cobblestone Collection,consumer,0.0,1.0
P90 | Straight Dimes,The Train 2025 Collection,industrial,0.0,1.0
P90 | Sunset Lily,The St. Marc Collection,industrial,0.0,0.5
P90 | Teardown,The Lake Collection,mil-spec,0.0,0.6
P90 | Tiger Pit,The Havoc Collection,mil-spec,0.0,0.5
P90 | Traction,The Horizon Collection,mil-spec,0.0,1.0
P90 | Trigon,The Phoenix Collection,classified,0.08,0.75
P90 | Vent Rush,The Recoil Collection,restricted,0.0,0.7
P90 | Verdant Growth,The 2021 Mirage Collection,industrial,0.0,0.47
P90 | Virus,The eSports 2014 Summer Collection,restricted,0.0,1.0
P90 | Wash me,The Overpass 2024 Collection,industrial,0.0,0.5
P90 | Wave Breaker,The Fever Collection,restricted,0.0,0.950549
PP-Bizon | Anolis,The 2021 Mirage Collection,consumer,0.0,0.5
PP-Bizon | Antique,The Huntsman Collection,restricted,0.0,0.5
PP-Bizon | Bamboo Print,The Rising Sun Collection,consumer,0.0,0.8
PP-Bizon | Blue Streak,The eSports 2014 Summer Collection,restricted,0.0,1.0
PP-Bizon | Brass,The Dust 2 Collection,mil-spec,0.0,1.0
PP-Bizon | Breaker Box,The 2021 Vertigo Collection,industrial,0.0,0.44
PP-Bizon | Candy Apple,The 2018 Inferno Collection,industrial,0.0,0.3
PP-Bizon | Carbon Fiber,The Vertigo Collection,industrial,0.0,0.12
PP-Bizon | Chemical Green,The Cache Collection,industrial,0.0,0.9
PP-Bizon | Cobalt Halftone,The Winter Offensive Collection,mil-spec,0.05,0.45
PP-Bizon | Cold Cell,The Sport & Field Collection,industrial,0.0,0.4
PP-Bizon | Death Rattle,The Havoc Collection,consumer,0.08,0.5
PP-Bizon | Embargo,The Shattered Web Collection,restricted,0.0,1.0
PP-Bizon | Facility Sketch,The 2018 Nuke Collection,consumer,0.0,0.5
PP-Bizon | Forest Leaves,The Militia Collection,consumer,0.0,1.0
PP-Bizon | Fuel Rod,The Revolver Case Collection,restricted,0.0,1.0
PP-Bizon | Harvester,The Gamma Collection,mil-spec,0.0,1.0
PP-Bizon | High Roller,The Spectrum 2 Collection,classified,0.0,1.0
PP-Bizon | Irradiated Alert,The Nuke Collection,consumer,0.0,1.0
PP-Bizon | Judgement of Anubis,The Chroma 3 Collection,covert,0.0,0.5
PP-Bizon | Jungle Slipstream,The Spectrum Collection,mil-spec,0.0,0.5
PP-Bizon | Lumen,The Operation Riptide Collection,mil-spec,0.0,0.77
PP-Bizon | Modern Hunter,The Militia Collection,mil-spec,0.0,1.0
PP-Bizon | Night Ops,The Lake Collection,industrial,0.0,0.6
PP-Bizon | Night Riot,The Clutch Collection,mil-spec,0.0,0.8
PP-Bizon | Osiris,The Breakout Collection,restricted,0.0,0.5
PP-Bizon | Photic Zone,The Wildfire Collection,mil-spec,0.0,1.0
PP-Bizon | Runic,The Fracture Collection,mil-spec,0.0,1.0
PP-Bizon | Rust Coat,The Alpha Collection,mil-spec,0.0,1.0
PP-Bizon | Sand Dashed,The Italy Collection,consumer,0.0,1.0
PP-Bizon | Seabird,The St. Marc Collection,consumer,0.0,0.5
PP-Bizon | Space Cat,The Dreams & Nightmares Collection,restricted,0.0,0.67
PP-Bizon | Urban Dashed,The Train Collection,consumer,0.0,1.0
PP-Bizon | Water Sigil,The eSports 2013 Winter Collection,mil-spec,0.0,0.5
PP-Bizon | Wood Block Camo,The Radiant Collection,consumer,0.0,0.6
REVOLVER | Amber Fade,The Dust 2 Collection,classified,0.0,0.4
REVOLVER | Banana Cannon,The Revolution Collection,restricted,0.0,1.0
REVOLVER | Blaze,The 2021 Train Collection,mil-spec,0.0,0.08
REVOLVER | Bone Forged,The Prisma 2 Collection,mil-spec,0.0,0.6
REVOLVER | Bone Mask,The Bank Collection,consumer,0.0,1.0
REVOLVER | Canal Spray,The Canals Collection,consumer,0.06,0.6
REVOLVER | Cobalt Grip,The Ascent Collection,consumer,0.0,0.80339
REVOLVER | Crazy 8,The Recoil Collection,restricted,0.0,1.0
REVOLVER | Crimson Web,The Revolver Case Collection,mil-spec,0.0,1.0
REVOLVER | Desert Brush,The 2021 Dust 2 Collection,consumer,0.0,0.6
REVOLVER | Fade,The Revolver Case Collection,covert,0.0,0.4
REVOLVER | Grip,The Clutch Collection,mil-spec,0.0,1.0
REVOLVER | Inlay,The Anubis Collection,consumer,0.0,0.76
REVOLVER | Junk Yard,The Snakebite Collection,mil-spec,0.0,1.0
REVOLVER | Leafhopper,The Boreal Collection,industrial,0.0,0.65098
REVOLVER | Llama Cannon,The Spectrum 2 Collection,classified,0.03,0.7
REVOLVER | Memento,The Shattered Web Collection,mil-spec,0.0,0.8
REVOLVER | Night,The Ancient Collection,consumer,0.0,1.0
REVOLVER | Nitro,The 2018 Inferno Collection,industrial,0.0,1.0
REVOLVER | Phoenix Marker,The Havoc Collection,industrial,0.0,0.6
REVOLVER | Reboot,The Gamma Collection,restricted,0.0,1.0
REVOLVER | Skull Crusher,The Prisma Collection,classified,0.25,0.8
REVOLVER | Survivalist,The Horizon Collection,mil-spec,0.0,0.7
REVOLVER | Tango,The Gallery Collection,mil-spec,0.0,0.851064
SCAR-20 | #PaintKit_sp_palm_Tag,The Dust Collection,industrial,0.0,1.0
SCAR-20 | Army Sheen,The Chop Shop Collection,consumer,0.0,0.3
SCAR-20 | Assault,The CS20 Collection,mil-spec,0.0,0.62
SCAR-20 | Bloodsport,The Gamma Collection,classified,0.0,0.45
SCAR-20 | Blueprint,The Spectrum Collection,mil-spec,0.0,0.75
SCAR-20 | Brass,The Norse Collection,mil-spec,0.0,1.0
SCAR-20 | Carbon Fiber,The Train Collection,industrial,0.0,0.12
SCAR-20 | Cardiac,The Vanguard Collection,classified,0.0,1.0
SCAR-20 | Contractor,The Safehouse Collection,consumer,0.0,1.0
SCAR-20 | Crimson Web,The Arms Deal 2 Collection,mil-spec,0.0,1.0
SCAR-20 | Cyrex,The Huntsman Collection,classified,0.0,0.5
SCAR-20 | Emerald,The Alpha Collection,restricted,0.0,0.08
SCAR-20 | Enforcer,The Prisma 2 Collection,restricted,0.0,1.0
SCAR-20 | Fragments,The Revolution Collection,mil-spec,0.0,0.78
SCAR-20 | Green Marine,The Shadow Collection,mil-spec,0.0,0.8
SCAR-20 | Grotto,The Chroma Collection,mil-spec,0.0,0.5
SCAR-20 | Jungle Slipstream,The Spectrum 2 Collection,mil-spec,0.0,0.5
SCAR-20 | Magna Carta,The Control Collection,mil-spec,0.0,0.6
SCAR-20 | Outbreak,The Revolver Case Collection,mil-spec,0.0,0.5
SCAR-20 | Poultrygeist,The Dreams & Nightmares Collection,mil-spec,0.0,0.57
SCAR-20 | Powercore,#CSGO_set_gamma_2,restricted,0.0,1.0
SCAR-20 | Sand Mesh,The Dust 2 Collection,consumer,0.0,1.0
SCAR-20 | Short Ochre,The Radiant Collection,consumer,0.0,0.746575
SCAR-20 | Splash Jam,The Militia Collection,classified,0.0,1.0
SCAR-20 | Stone Mosaico,The Canals Collection,consumer,0.06,0.5
SCAR-20 | Storm,The Cobblestone Collection,consumer,0.0,1.0
SCAR-20 | Torn,The Shattered Web Collection,mil-spec,0.0,0.45
SCAR-20 | Trail Blazer,The Gallery Collection,mil-spec,0.0,0.702614
SCAR-20 | Wild Berry,The Graphic Design Collection,mil-spec,0.0,0.65
SG 553 | Aerial,The Gamma Collection,mil-spec,0.0,0.6
SG 553 | Aloha,The Clutch Collection,mil-spec,0.0,0.55
SG 553 | Anodized Navy,The Lake Collection,mil-spec,0.0,0.08
SG 553 | Army Sheen,The Bank Collection,consumer,0.0,0.3
SG 553 | Atlas,The Chroma 3 Collection,mil-spec,0.0,0.81
SG 553 | Barricade,The Norse Collection,consumer,0.0,0.65
SG 553 | Basket Halftone,The Radiant Collection,industrial,0.0,0.6
SG 553 | Berry Gel Coat,The Graphic Design Collection,mil-spec,0.0,0.8
SG 553 | Bleached,The 2021 Dust 2 Collection,consumer,0.0,0.5
SG 553 | Bulldozer,The Chop Shop Collection,restricted,0.0,1.0
SG 553 | Candy Apple,The Canals Collection,industrial,0.0,0.7
SG 553 | Colony IV,The Shattered Web Collection,classified,0.0,1.0
SG 553 | Cyberforce,The Revolution Collection,mil-spec,0.0,0.9
SG 553 | Cyrex,The Falchion Collection,classified,0.0,1.0
SG 553 | Damascus Steel,The Dust 2 Collection,mil-spec,0.0,1.0
SG 553 | Danger Close,The Danger Zone Collection,mil-spec,0.02,0.8
SG 553 | Darkwing,The Prisma 2 Collection,restricted,0.0,1.0
SG 553 | Desert Blossom,The 2021 Mirage Collection,mil-spec,0.0,0.49
SG 553 | Dragon Tech,The Recoil Collection,restricted,0.0,0.7
SG 553 | Fallout Warning,The Cache Collection,industrial,0.0,0.8
SG 553 | Gator Mesh,The Mirage Collection,industrial,0.0,0.6
SG 553 | Hazard Pay,The 2021 Vertigo Collection,classified,0.0,0.48
SG 553 | Heavy Metal,The Snakebite Collection,mil-spec,0.0,1.0
SG 553 | Hypnotic,The Havoc Collection,restricted,0.0,0.08
SG 553 | Integrale,The 2018 Inferno Collection,classified,0.0,1.0
SG 553 | Lush Ruins,The Ancient Collection,consumer,0.0,0.7
SG 553 | Night Camo,The Ascent Collection,consumer,0.0,0.795222
SG 553 | Ol' Rusty,The Fracture Collection,mil-spec,0.0,0.7
SG 553 | Phantom,The Spectrum 2 Collection,restricted,0.0,0.6
SG 553 | Pulse,The Phoenix Collection,restricted,0.1,0.6
SG 553 | Tiger Moth,The Revolver Case Collection,restricted,0.0,1.0
SG 553 | Tornado,The Assault Collection,consumer,0.0,1.0
SG 553 | Traveler,The Baggage Collection,industrial,0.0,1.0
SG 553 | Triarch,#CSGO_set_gamma_2,restricted,0.0,1.0
SG 553 | Ultraviolet,The Arms Deal Collection,mil-spec,0.0,1.0
SG 553 | Wave Spray,The Bravo Collection,mil-spec,0.0,1.0
SG 553 | Waves Perforated,The Lake Collection,consumer,0.0,1.0
SSG 08 | Abyss,The Breakout Collection,mil-spec,0.0,1.0
SSG 08 | Acid Fade,The Safehouse Collection,mil-spec,0.0,0.03
SSG 08 | Azure Glyph,The Anubis Collection,industrial,0.01,0.99
SSG 08 | Big Iron,The Shadow Collection,classified,0.0,0.64
SSG 08 | Blood in the Water,The Arms Deal 2 Collection,covert,0.0,0.2
SSG 08 | Bloodshot,The Shattered Web Collection,classified,0.14,0.6
SSG 08 | Blue Spruce,The Safehouse Collection,consumer,0.0,1.0
SSG 08 | Blush Pour,The Radiant Collection,mil-spec,0.0,0.678431
SSG 08 | Carbon Fiber,The 2021 Vertigo Collection,industrial,0.0,0.12
SSG 08 | Dark Water,The eSports 2014 Summer Collection,mil-spec,0.1,0.26
SSG 08 | Death Strike,The 2021 Dust 2 Collection,classified,0.0,0.8
SSG 08 | Death's Head,The Operation Hydra Collection,restricted,0.0,0.51
SSG 08 | Detour,The Overpass Collection,mil-spec,0.0,0.43
SSG 08 | Dezastre,The Kilowatt Collection,mil-spec,0.0,1.0
SSG 08 | Dragonfire,The Glove Collection,covert,0.0,0.5
SSG 08 | Fever Dream,The Prisma 2 Collection,restricted,0.0,0.72
SSG 08 | Ghost Crusader,The Chroma 3 Collection,restricted,0.0,1.0
SSG 08 | Green Ceramic,The Boreal Collection,consumer,0.0,0.75
SSG 08 | Grey Smoke,The Ascent Collection,consumer,0.0,0.6
SSG 08 | Halftone Whorl,The Graphic Design Collection,industrial,0.0,0.5
SSG 08 | Hand Brake,The 2018 Inferno Collection,mil-spec,0.0,1.0
SSG 08 | Jungle Dashed,The Ancient Collection,consumer,0.0,1.0
SSG 08 | Lichen Dashed,The Aztec Collection,consumer,0.0,1.0
SSG 08 | Mainframe 001,The Fracture Collection,mil-spec,0.0,1.0
SSG 08 | Mayan Dreams,The Alpha Collection,industrial,0.0,1.0
SSG 08 | Memorial,The Fever Collection,mil-spec,0.0,1.0
SSG 08 | Necropos,The Wildfire Collection,mil-spec,0.0,1.0
SSG 08 | Orange Filigree,The Canals Collection,mil-spec,0.0,0.5
SSG 08 | Parallax,The Operation Broken Fang Collection,restricted,0.0,1.0
SSG 08 | Prey,The 2021 Mirage Collection,consumer,0.0,0.48
SSG 08 | Rapid Transit,The Gallery Collection,restricted,0.0,0.75
SSG 08 | Red Stone,The Norse Collection,consumer,0.06,0.5
SSG 08 | Sand Dune,The Baggage Collection,consumer,0.0,1.0
SSG 08 | Sea Calico,The St. Marc Collection,restricted,0.0,0.5
SSG 08 | Slashed,The Huntsman Collection,mil-spec,0.15,0.8
SSG 08 | Spring Twilly,The 2021 Train Collection,mil-spec,0.0,0.55
SSG 08 | Threat Detected,The Control Collection,mil-spec,0.0,0.65
SSG 08 | Tiger Tear,The Boreal Collection,industrial,0.0,0.55
SSG 08 | Tropical Storm,The Mirage Collection,industrial,0.0,1.0
SSG 08 | Turbo Peek,The Operation Riptide Collection,classified,0.0,0.6
SSG 08 | Zeno,The Sport & Field Collection,mil-spec,0.0,0.7
Sawed-Off | Amber Fade,The Train Collection,mil-spec,0.0,0.4
Sawed-Off | Analog Input,The Kilowatt Collection,restricted,0.0,0.61886
Sawed-Off | Apocalypto,The Prisma 2 Collection,restricted,0.0,1.0
Sawed-Off | Bamboo Shadow,The Rising Sun Collection,consumer,0.0,0.6
Sawed-Off | Black Sand,The Danger Zone Collection,mil-spec,0.0,0.9
Sawed-Off | Brake Light,The 2018 Inferno Collection,mil-spec,0.0,0.08
Sawed-Off | Clay Ambush,The Havoc Collection,consumer,0.0,0.6
Sawed-Off | Copper,The Dust Collection,mil-spec,0.0,1.0
Sawed-Off | Devourer,The Horizon Collection,classified,0.0,0.8
Sawed-Off | First Class,The Baggage Collection,mil-spec,0.0,0.5
Sawed-Off | Forest DDPAT,The Bank Collection,consumer,0.0,1.0
Sawed-Off | Fubar,The Chroma 3 Collection,mil-spec,0.4,1.0
Sawed-Off | Full Stop,The Italy Collection,mil-spec,0.0,0.6
Sawed-Off | Highwayman,The Vanguard Collection,restricted,0.0,1.0
Sawed-Off | Irradiated Alert,The Nuke Collection,consumer,0.0,1.0
Sawed-Off | Jungle Thicket,The St. Marc Collection,consumer,0.0,0.5
Sawed-Off | Kiss♥Love,The Recoil Collection,classified,0.0,1.0
Sawed-Off | Limelight,The Gamma Collection,restricted,0.0,1.0
Sawed-Off | Morris,The Spectrum 2 Collection,mil-spec,0.0,1.0
Sawed-Off | Mosaico,The Alpha Collection,industrial,0.0,1.0
Sawed-Off | Orange DDPAT,The eSports 2013 Collection,restricted,0.0,1.0
Sawed-Off | Origami,The Chroma 2 Collection,mil-spec,0.0,0.55
Sawed-Off | Parched,The 2021 Dust 2 Collection,consumer,0.0,0.49
Sawed-Off | Runoff,The Ascent Collection,consumer,0.0,0.780822
Sawed-Off | Rust Coat,The Cobblestone Collection,industrial,0.0,1.0
Sawed-Off | Sage Spray,The Overpass Collection,consumer,0.0,1.0
Sawed-Off | Serenity,The Chroma Collection,restricted,0.0,0.5
Sawed-Off | Snake Camo,The Dust 2 Collection,industrial,0.0,1.0
Sawed-Off | Spirit Board,The Dreams & Nightmares Collection,mil-spec,0.0,1.0
Sawed-Off | The Kraken,The Winter Offensive Collection,covert,0.0,0.4
Sawed-Off | Wasteland Princess,The Glove Collection,classified,0.0,0.7
Sawed-Off | Yorick,The Revolver Case Collection,mil-spec,0.0,1.0
Sawed-Off | Zander,The Spectrum Collection,mil-spec,0.05,1.0
TASER | Charged Up,The Train 2025 Collection,restricted,0.0,1.0
TASER | Dragon Snore,The Overpass 2024 Collection,classified,0.0,0.8
